第一批本科高校文史类、理工类投档情况统计表                                                
统计时间：2018年7月18日16时                                                
序号   科类        院校代号        院校名称        投档线        "最低投档排名"
578       理工        8210        赣南师范大学        527        38183
579       理工        8211        江西科技师范大学        527        38183
580       理工        8216        井冈山大学        527        38183
581       理工        8218        南昌工程学院        527        38183
582       理工        8254        江西理工大学        527        38183
583       理工        9600        江西师范大学(地方专项计划)        551        25794
584       理工        9601        南昌大学(地方专项计划)▲        565        19674
585       理工        9602        江西财经大学(地方专项计划)        567        18926
586       理工        9618        南昌工程学院(地方专项计划)        528        37510
587       理工        9621        江西农业大学(地方专项计划)        527        37833
588       理工        9622        华东交通大学(地方专项计划)        548        26987
589       理工        9623        江西理工大学(地方专项计划)        533        34260
590       理工        9625        南昌航空大学(地方专项计划)        542        29703
591       理工        9626        景德镇陶瓷大学(地方专项计划)        527        38183
592       理工        9630        赣南师范大学(地方专项计划)        533        34399
593       理工        9650        江西师范大学(苏区专项计划)        551        25676
594       理工        9651        南昌大学(苏区专项计划)▲        565        19657
595       理工        9652        华东交通大学(苏区专项计划)        549        26338
596       理工        9653        江西理工大学(苏区专项计划)        533        34310
597       理工        9655        南昌航空大学(苏区专项计划)        540        30922
598       理工        9658        江西中医药大学(苏区专项计划)        540        30940
599       理工        9659        赣南医学院(苏区专项计划)        535        33596
600       理工        9660        赣南师范大学(苏区专项计划)        529        36734
601       理工        9661        江西农业大学(苏区专项计划)        529        36822
602       理工        9662        江西科技师范大学(苏区专项计划)        527        38183
603       理工        9664        东华理工大学(苏区专项计划)        527        38183
604       理工        9666        井冈山大学(苏区专项计划)        527        38183
605       理工        9668        南昌工程学院(苏区专项计划)        527        38183
606       理工        9672        江西财经大学(苏区专项计划)        571        17620
